餐廳名稱,平均價位,主食類型,料理風格,用餐目的,特色
楊家豆漿,NT$50-100,豆漿、蛋餅、燒餅,台式,快速解決 (宵夜、早餐),有冷氣
六妹的店,NT$100-200,義大利麵、燉飯,台式/西式,快速解決、聚會適合,有冷氣、飲料無限供應
關東煮炒麵炒米粉,NT$40-80,炒麵、炒米粉、關東煮,台式,快速解決、宵夜,價格平實、宵夜首選
蜂炸雞 超級大雞排,NT$70-150,雞排、炸物,台式,快速解決,現點現炸、香酥多汁
品味香快炒,NT$95-155,炒飯、燴飯、炒麵,台式,快速解決,有冷氣、白飯/飲料吃到飽
花漾廚房,NT$100-200,簡餐、義大利麵,台式/西式,快速解決、聚會適合,有冷氣、濃湯飲料無限供應
農閒時刻的粥,NT$70-100,廣東粥、鍋燒麵,台式,快速解決,有冷氣、口味清淡
豪記滷味,NT$50-150,滷味,台式,快速解決、宵夜,學生推薦、品項多元
阿湯哥脆皮湯包,NT$60-100,湯包、煎餃,台式,快速解決,脆皮底層、現蒸現做
中正雞場,NT$70-100,雞肉飯、便當,台式,快速解決,學生價位、份量足
愛恨椒雞,NT$80-150,椒麻雞、雞肉飯,台式,快速解決,獨家椒麻醬汁、有冷氣
王仔滷味,NT$50-150,滷味,台式,快速解決、宵夜,湯頭甘甜、熱門宵夜
十畝田滷味- 中正店,NT$50-150,滷味,台式,快速解決、宵夜,醬汁濃郁、乾溼皆可
巧味果汁,NT$40-80,現打果汁,台式,快速解決,新鮮水果現打、種類繁多
古早味炒麵（臭豆腐）,NT$40-100,炒麵、臭豆腐,台式,快速解決,臭豆腐外酥內嫩
蘭姐手工水餃,NT$50-100,水餃、酸辣湯,台式,快速解決,手工現包、皮Q餡實
翅炸鍋,NT$80-150,雞排飯、韓式炸雞,台式/韓式,快速解決,有冷氣、飲料吃到飽
洵香麻辣燙,NT$80-200,麻辣燙,台式,快速解決、宵夜,有冷氣、可調整辣度
富成屋拉麵,NT$130-220,拉麵,日式,快速解決、聚會適合,有冷氣、免費加麵一次
一番食堂-中正店,NT$100-200,丼飯、定食,日式,快速解決,有冷氣、附味噌湯與飲品
豐正食堂,NT$80-120,快餐、便當,台式,快速解決,主菜選擇多、出餐快
傻師傅神農店,NT$60-100,湯包、蒸餃,台式,快速解決,鮮肉湯包、內餡多汁
嘉農小館,NT$80-150,炒飯、熱炒,台式,快速解決,份量充足、學生推薦
鹿角Brunch,NT$100-200,早午餐、漢堡,西式,聚會適合,有冷氣、環境舒適
全風味便當,NT$70-100,便當,台式,快速解決,附湯與飲料
阿梅簡餐便當,NT$70-100,簡餐、快餐,台式,快速解決,平價家常菜
a咖美食平價牛排,NT$150-300,牛排、鐵板麵,西式,聚會適合,有冷氣、飲料濃湯無限供應
Ink Hall . 隱客廳,NT$100-200,咖啡、輕食,西式,適合讀書,有冷氣、有插座、環境安靜
泰麻吉,NT$100-200,泰式簡餐、打拋豬,泰式,快速解決,口味獨特、學生熱門
丼飽處x味自慢,NT$100-200,日式丼飯,日式,快速解決,有冷氣、食材豐富
味芳早餐,NT$40-80,蛋餅、吐司、漢堡,台式,快速解決 (早餐),傳統早點、價格實惠
紅樓極麵,NT$60-120,麵食、水餃,台式,快速解決,麵條Q彈、自製辣醬
東方美,NT$40-80,漢堡、三明治,台式,快速解決 (早餐),出餐快、連鎖早餐
鮮盛食堂,NT$100-200,定食、丼飯,日式,快速解決,有冷氣、附味噌湯
晨間廚房,NT$50-120,早午餐、蛋餅,台式/西式,快速解決,有冷氣、環境乾淨
地中海美食,NT$100-200,義大利麵、燉飯,西式,聚會適合,有冷氣、飲料無限供應
艾絲ice tea,NT$30-70,手搖飲、輕食,台式,快速解決,學生愛店、種類繁多
薩克廚房,NT$100-200,義大利麵,西式,聚會適合,有冷氣、醬汁豐富
早叄早午餐,NT$80-150,早午餐拼盤,西式,聚會適合,有冷氣、擺盤精美
八方雲集,NT$60-120,鍋貼、水餃,台式,快速解決,連鎖品牌、品質穩定
神農美食坊,NT$70-100,便當、快餐,台式,快速解決,便宜大碗、出餐快
蔬芙suitfoodsalad,NT$100-200,健康沙拉、舒肥料理,西式,快速解決,素食友善、低GI飲食
米六里,NT$100-200,定食、飯食,台式,快速解決,有冷氣、環境整潔
牛筋伯爵,NT$150-300,牛肉麵、精緻套餐,台式,聚會適合,有冷氣、湯頭濃郁
ㄎㄎ韓食(ㅋㅋ한식),NT$150-250,韓式拌飯、嫩豆腐鍋,韓式,聚會適合,有冷氣、韓式小菜吃到飽
食凡,NT$150-250,舒肥健康餐,西式,快速解決,有冷氣、食材新鮮
巴豆夭百元美味鍋物,NT$150-250,小火鍋,台式,聚會適合,有冷氣、白飯/冰淇淋/飲料吃到飽
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
餐廳名稱,平均價位,主食類型,料理風格,用餐目的,特色
三米藍,NT$100-200,早午餐、咖哩、炸雞,西式/日式,聚會適合、快速解決,有冷氣、環境文青
花圓巧芋,NT$50-120,芋圓、手工豆花、關東煮,台式,快速解決、宵夜,有冷氣、WiFi、營業至午夜
8鍋,NT$150-250,小火鍋,台式,快速解決、聚會適合,有冷氣、白飯/冰淇淋/飲料吃到飽
咖啡王國-中正店,NT$50-150,咖啡、輕食、三明治,西式,適合讀書、快速解決,有冷氣、有插座、環境安靜
麥香堡,NT$40-100,漢堡、蛋餅、吐司,台式,快速解決 (早餐),價格實惠、學生常客
百田中西式早午餐,NT$50-120,早午餐、中式麵食,台式/西式,快速解決、聚會適合,有冷氣、餐點選擇多樣
誠石火鍋,NT$180-300,小火鍋,台式,聚會適合、快速解決,有冷氣、醬料自助吧、平價鍋物
中正比奇堡,NT$30-100,炸物、飲料、點心,台式,快速解決、宵夜,學生宵夜、目前暫停營業
123活力早餐屋,NT$40-100,漢堡、蛋餅、中式早點,台式,快速解決 (早餐),價格親民、出餐動作快
布格早午餐,NT$80-150,早午餐拼盤、漢堡,西式,聚會適合、快速解決,有冷氣、裝潢明亮舒適
21金小火鍋,NT$150-250,小火鍋,台式,聚會適合、快速解決,有冷氣、分店眾多品質穩定
博多屋台拉麵,NT$120-200,拉麵,日式,快速解決、聚會適合,有冷氣、道地日式風味
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
餐廳名稱,平均價位,主食類型,料理風格,用餐目的,特色
侯記中式早餐,NT$40-100,飯糰、蛋餅、豆漿、饅頭加蛋,台式,快速解決 (早餐),價格親民、大份量、傳統中式早點、學生早餐首選